"Point","Channel","Category","ImagePath","FileExists","Referenced","ReferencedIn","Status","Notes"
"","","diagnosis","images/diagnosis/pulse-positions.png","yes","no","","unreferenced",""
"","","diagnosis","images/diagnosis/tongue-zones.png","yes","no","","unreferenced",""
"","","foundation","images/foundations/cun-arm.png","yes","yes","year-1-foundations/module-02-meridians/practical/point-location-guide.md; year-1-foundations/module-03-anatomy/04-surface-anatomy.md","needs-review",""
"","","foundation","images/foundations/cun-back.png","yes","yes","year-1-foundations/module-02-meridians/practical/point-location-guide.md; year-1-foundations/module-03-anatomy/04-surface-anatomy.md","needs-review",""
"","","foundation","images/foundations/cun-chest-abdomen.png","yes","yes","year-1-foundations/module-02-meridians/practical/point-location-guide.md; year-1-foundations/module-03-anatomy/04-surface-anatomy.md","needs-review",""
"","","foundation","images/foundations/cun-fingers.png","yes","yes","year-1-foundations/module-02-meridians/practical/point-location-guide.md; year-1-foundations/module-03-anatomy/04-surface-anatomy.md","needs-review",""
"","","foundation","images/foundations/cun-head.png","yes","yes","year-1-foundations/module-02-meridians/practical/point-location-guide.md; year-1-foundations/module-03-anatomy/04-surface-anatomy.md","needs-review",""
"","","foundation","images/foundations/cun-leg.png","yes","yes","year-1-foundations/module-02-meridians/practical/point-location-guide.md; year-1-foundations/module-03-anatomy/04-surface-anatomy.md","needs-review",""
"","","meridian","images/meridians/lu-lung-channel.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/02-lung-channel.md","needs-review",""
"","","microsystem","images/microsystems/ear-map.png","yes","no","","unreferenced",""
"BL23","BL","point","images/points/BL/BL23.png","yes","no","","unreferenced",""
"DU1","DU","point","images/points/DU/DU1.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU10","DU","point","images/points/DU/DU10.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU11","DU","point","images/points/DU/DU11.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU12","DU","point","images/points/DU/DU12.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU13","DU","point","images/points/DU/DU13.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU14","DU","point","images/points/DU/DU14.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU15","DU","point","images/points/DU/DU15.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU16","DU","point","images/points/DU/DU16.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU17","DU","point","images/points/DU/DU17.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU18","DU","point","images/points/DU/DU18.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU19","DU","point","images/points/DU/DU19.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU2","DU","point","images/points/DU/DU2.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU20","DU","point","images/points/DU/DU20.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU21","DU","point","images/points/DU/DU21.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU22","DU","point","images/points/DU/DU22.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU23","DU","point","images/points/DU/DU23.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU24","DU","point","images/points/DU/DU24.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU25","DU","point","images/points/DU/DU25.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU26","DU","point","images/points/DU/DU26.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU27","DU","point","images/points/DU/DU27.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU28","DU","point","images/points/DU/DU28.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU3","DU","point","images/points/DU/DU3.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU4","DU","point","images/points/DU/DU4.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU5","DU","point","images/points/DU/DU5.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU6","DU","point","images/points/DU/DU6.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU7","DU","point","images/points/DU/DU7.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU8","DU","point","images/points/DU/DU8.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"DU9","DU","point","images/points/DU/DU9.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/14-extraordinary-vessels.md","needs-review",""
"GB1","GB","point","images/points/GB/GB1.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/12-gallbladder.md","needs-review",""
"GB10","GB","point","images/points/GB/GB10.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/12-gallbladder.md","needs-review",""
"GB11","GB","point","images/points/GB/GB11.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/12-gallbladder.md","needs-review",""
"GB12","GB","point","images/points/GB/GB12.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/12-gallbladder.md","needs-review",""
"GB13","GB","point","images/points/GB/GB13.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/12-gallbladder.md","needs-review",""
"GB14","GB","point","images/points/GB/GB14.png","yes","yes","export-for-ai/01-year-1-foundations-master.md; year-1-foundations/module-02-meridians/12-gallbladder.md","needs-review",""
